bid,btype,dated,trsource,destination,trip,route,pcount,snum,adults,child,revenue
83261,KSRTC,09-02-20,Tumakuru,Yadgir,3,5,59,5,47,11,4164
84240,KSRTC,09-02-20,Shivamogga,Bengaluru,4,2,57,2,45,11,3763
84918,KSRTC,09-02-20,Mysuru,Ramanagara,5,2,57,7,45,11,3472
85414,KSRTC,09-02-20,Chamarajanagar,Hassan,2,1,59,6,47,11,3881
1409,KSRTC,10-02-20,Dharwad,Belagavi,3,9,58,1,46,11,3380
3108,KSRTC,10-02-20,Kodagu,Udupi,2,6,58,4,46,11,4164
3997,KSRTC,10-02-20,Bijapur,Bengaluru,2,3,56,5,44,11,3606
4401,KSRTC,10-02-20,Hassan,Chikballapur,2,8,56,8,44,11,3090
4969,KSRTC,10-02-20,Mandya,Gadag,4,7,58,1,46,11,3968
5544,KSRTC,10-02-20,Shivamogga,Belagavi,4,6,55,5,44,11,4418
10742,KSRTC,10-02-20,Chikballapur,Haveri,2,6,55,1,44,11,4036
12142,KSRTC,10-02-20,Dharwad,Bengaluru,4,6,58,2,46,11,3857
12169,KSRTC,10-02-20,Chikkamagaluru,DakshinaKannada,3,9,60,3,48,12,4046
12243,KSRTC,10-02-20,Davangere,Koppal,5,1,55,8,44,11,4389
12438,KSRTC,10-02-20,Bidar,Ballari,3,9,59,6,47,11,4309
13182,KSRTC,10-02-20,Raichur,Udupi,2,2,57,2,45,11,4080
15064,KSRTC,10-02-20,Kodagu,Chitradurga,2,1,57,3,45,11,3265
18397,KSRTC,10-02-20,Koppal,Kodagu,2,9,58,1,46,11,4102
21281,KSRTC,10-02-20,Ramanagara,Udupi,2,1,55,1,44,11,3027
21528,KSRTC,10-02-20,Raichur,Chitradurga,1,5,60,6,48,12,4353
30221,KSRTC,10-02-20,Chikkamagaluru,Gulbarga,2,8,56,6,44,11,4399
30292,KSRTC,10-02-20,Bengaluru,Bijapur,4,2,57,6,45,11,4108
31436,KSRTC,10-02-20,Tumakuru,Chamarajanagar,1,6,57,5,45,11,3018
33134,KSRTC,10-02-20,Koppal,Bijapur,4,2,59,6,47,11,4011
37536,KSRTC,10-02-20,Bagalkot,Bagalkot,5,6,60,6,48,12,4500
38608,KSRTC,10-02-20,Haveri,Bengaluru,1,6,57,7,45,11,3201
41838,KSRTC,10-02-20,Belagavi,Bidar,3,7,55,8,44,11,3795
42736,KSRTC,10-02-20,DakshinaKannada,Belagavi,5,2,55,4,44,11,3311
45099,KSRTC,10-02-20,Karwar,Gulbarga,1,2,55,3,44,11,3727
48938,KSRTC,10-02-20,Dharwad,Bengaluru,1,7,58,4,46,11,3397
50406,KSRTC,10-02-20,Bengaluru,Mysuru,4,9,57,5,45,11,3933
50675,KSRTC,10-02-20,Udupi,Chamarajanagar,4,8,59,5,47,11,3661
56009,KSRTC,10-02-20,Haveri,Gulbarga,5,8,56,3,44,11,4185
57523,KSRTC,10-02-20,Chitradurga,Chamarajanagar,4,9,60,3,48,12,3914
58509,KSRTC,10-02-20,DakshinaKannada,Raichur,3,9,59,7,47,11,3012
59636,KSRTC,10-02-20,Chikballapur,Bijapur,2,8,58,8,46,11,3825
65345,KSRTC,10-02-20,Koppal,Dharwad,4,9,59,3,47,11,3479
67482,KSRTC,10-02-20,Haveri,Yadgir,3,2,56,3,44,11,4220
67892,KSRTC,10-02-20,Davangere,Bidar,2,6,57,3,45,11,3380
69463,KSRTC,10-02-20,Dharwad,Davangere,1,4,60,5,48,12,4345
70560,KSRTC,10-02-20,Mandya,Koppal,3,9,55,2,44,11,3054
74899,KSRTC,10-02-20,Gulbarga,Mandya,2,3,59,7,47,11,4045
77394,KSRTC,10-02-20,Mandya,Davangere,3,4,60,5,48,12,3569
80090,KSRTC,10-02-20,Ramanagara,Koppal,5,3,55,2,44,11,3542
81160,KSRTC,10-02-20,Tumakuru,Bengaluru,1,7,55,5,44,11,3262
81883,KSRTC,10-02-20,DakshinaKannada,Shivamogga,5,3,58,3,46,11,3988
83823,KSRTC,10-02-20,Gulbarga,Koppal,2,7,56,7,44,11,3864
6074,KSRTC,11-02-20,Bagalkot,DakshinaKannada,3,2,59,8,47,11,4099
7298,KSRTC,11-02-20,Mysuru,Udupi,2,7,59,5,47,11,4414
11118,KSRTC,11-02-20,Dharwad,Ballari,4,10,56,8,44,11,3520
11643,KSRTC,11-02-20,Raichur,Shivamogga,1,10,57,3,45,11,3749
15911,KSRTC,11-02-20,Mysuru,Koppal,4,1,60,4,48,12,4026
16160,KSRTC,11-02-20,Gadag,Gadag,4,4,58,3,46,11,3883
18018,KSRTC,11-02-20,Bidar,Mandya,3,5,57,8,45,11,3113
18507,KSRTC,11-02-20,Shivamogga,Raichur,2,1,57,5,45,11,3816
21605,KSRTC,11-02-20,Gulbarga,Belagavi,4,3,60,3,48,12,3491
26155,KSRTC,11-02-20,Mysuru,Koppal,3,8,59,7,47,11,3036
27359,KSRTC,11-02-20,Udupi,Chitradurga,4,5,55,3,44,11,3781
30728,KSRTC,11-02-20,Ramanagara,Bidar,3,6,56,3,44,11,3297
31490,KSRTC,11-02-20,Haveri,Bengaluru,3,7,60,5,48,12,3080
32617,KSRTC,11-02-20,Kolar,Tumakuru,2,5,58,3,46,11,3162
32931,KSRTC,11-02-20,Karwar,Yadgir,3,5,59,3,47,11,4421
34001,KSRTC,11-02-20,Haveri,Gulbarga,3,1,57,2,45,11,3895
39077,KSRTC,11-02-20,Karwar,Chikkamagaluru,2,8,58,3,46,11,3369
40451,KSRTC,11-02-20,Udupi,Ramanagara,2,8,55,7,44,11,3020
40563,KSRTC,11-02-20,Dharwad,Bijapur,2,7,57,5,45,11,3706
42795,KSRTC,11-02-20,Chamarajanagar,Yadgir,2,2,56,5,44,11,3716
43558,KSRTC,11-02-20,Bagalkot,Chikkamagaluru,2,2,60,4,48,12,4219
45491,KSRTC,11-02-20,Chikkamagaluru,Raichur,4,4,55,3,44,11,3092
46400,KSRTC,11-02-20,Chamarajanagar,Bijapur,5,8,58,1,46,11,3546
47424,KSRTC,11-02-20,Kolar,Chitradurga,2,6,59,2,47,11,3050
50284,KSRTC,11-02-20,Mandya,Bengaluru,4,8,60,4,48,12,3697
50728,KSRTC,11-02-20,Kodagu,Belagavi,1,8,56,5,44,11,3256
52458,KSRTC,11-02-20,Chamarajanagar,Mandya,4,1,60,4,48,12,3406
56132,KSRTC,11-02-20,Tumakuru,Bengaluru,4,1,55,8,44,11,3903
60016,KSRTC,11-02-20,Bagalkot,Tumakuru,1,3,55,2,44,11,4004
64055,KSRTC,11-02-20,Belagavi,Bijapur,3,2,60,4,48,12,4460
65002,KSRTC,11-02-20,Bagalkot,Chikkamagaluru,1,4,60,1,48,12,3704
71212,KSRTC,11-02-20,Bengaluru,Kodagu,3,8,56,1,44,11,3854
72211,KSRTC,11-02-20,Mysuru,Karwar,1,5,58,8,46,11,3567
73053,KSRTC,11-02-20,Ramanagara,Dharwad,5,8,59,4,47,11,3058
75923,KSRTC,11-02-20,Kolar,DakshinaKannada,2,10,60,8,48,12,3975
76138,KSRTC,11-02-20,Yadgir,Gulbarga,5,8,58,2,46,11,4379
78100,KSRTC,11-02-20,Chikballapur,Kodagu,2,5,55,5,44,11,3309
78353,KSRTC,11-02-20,Mandya,DakshinaKannada,5,1,57,6,45,11,4365
79549,KSRTC,11-02-20,Ballari,Kodagu,2,7,59,2,47,11,3935
82697,KSRTC,11-02-20,Yadgir,Gadag,3,9,59,7,47,11,4195
5651,KSRTC,12-02-20,Raichur,Davangere,5,2,56,1,44,11,3271
5848,KSRTC,12-02-20,Bijapur,Belagavi,3,3,57,6,45,11,4046
9217,KSRTC,12-02-20,Tumakuru,Dharwad,3,6,57,8,45,11,3038
10905,KSRTC,12-02-20,Bengaluru,Kolar,5,3,56,4,44,11,3593
11339,KSRTC,12-02-20,Chikballapur,Belagavi,1,10,55,6,44,11,3963
15232,KSRTC,12-02-20,Hassan,Karwar,5,8,58,4,46,11,3322
15241,KSRTC,12-02-20,DakshinaKannada,Chikkamagaluru,4,9,55,8,44,11,3479
15875,KSRTC,12-02-20,Karwar,Chamarajanagar,5,4,58,7,46,11,4137
17830,KSRTC,12-02-20,Bengaluru,Chitradurga,1,2,55,8,44,11,3100
19368,KSRTC,12-02-20,Raichur,Udupi,1,9,60,7,48,12,3579
21803,KSRTC,12-02-20,Gadag,Chikballapur,4,10,57,2,45,11,3127
29939,KSRTC,12-02-20,Ramanagara,Chitradurga,3,8,56,4,44,11,3327
30260,KSRTC,12-02-20,Chikballapur,Chitradurga,3,2,59,3,47,11,3725
34833,KSRTC,12-02-20,Dharwad,DakshinaKannada,5,1,59,6,47,11,4377
37234,KSRTC,12-02-20,Karwar,Gulbarga,2,9,55,5,44,11,3544
39401,KSRTC,12-02-20,Mandya,Chikkamagaluru,3,4,56,2,44,11,3745
41420,KSRTC,12-02-20,Bijapur,DakshinaKannada,2,4,56,4,44,11,4180
42827,KSRTC,12-02-20,Haveri,Gulbarga,3,9,59,4,47,11,4188
47640,KSRTC,12-02-20,Ballari,Mysuru,4,2,55,1,44,11,3163
48371,KSRTC,12-02-20,Ballari,Belagavi,5,1,56,2,44,11,4454
57737,KSRTC,12-02-20,Dharwad,Raichur,2,7,58,1,46,11,3856
57882,KSRTC,12-02-20,Udupi,Karwar,3,7,56,4,44,11,3266
59144,KSRTC,12-02-20,Ramanagara,Belagavi,3,10,55,8,44,11,3893
62674,KSRTC,12-02-20,Hassan,Ramanagara,5,7,60,7,48,12,3072
64148,KSRTC,12-02-20,Raichur,Bijapur,5,8,59,6,47,11,3797
64784,KSRTC,12-02-20,Haveri,Chikballapur,4,7,56,3,44,11,4198
64818,KSRTC,12-02-20,Davangere,Davangere,1,6,60,5,48,12,4337
64990,KSRTC,12-02-20,Chikkamagaluru,Chikballapur,1,10,57,1,45,11,3483
69408,KSRTC,12-02-20,Bidar,Raichur,4,7,59,3,47,11,4210
74424,KSRTC,12-02-20,Kolar,Bengaluru,5,10,60,7,48,12,3698
76405,KSRTC,12-02-20,Gadag,Hassan,5,10,57,3,45,11,3065
77079,KSRTC,12-02-20,Gulbarga,Udupi,5,1,58,2,46,11,3358
81187,KSRTC,12-02-20,Karwar,Bengaluru,5,2,55,8,44,11,3397
82751,KSRTC,12-02-20,Chitradurga,Davangere,5,10,57,1,45,11,3082
83033,KSRTC,12-02-20,DakshinaKannada,Mysuru,5,1,56,7,44,11,4381
2342,KSRTC,13-02-20,Chikkamagaluru,Hassan,5,9,55,1,44,11,3075
2828,KSRTC,13-02-20,Chitradurga,Kodagu,3,6,56,8,44,11,4471
4985,KSRTC,13-02-20,Karwar,Chikkamagaluru,3,6,56,5,44,11,3895
6045,KSRTC,13-02-20,Davangere,Dharwad,1,5,57,7,45,11,3647
6175,KSRTC,13-02-20,Bidar,Koppal,2,2,59,2,47,11,4070
6975,KSRTC,13-02-20,Belagavi,Mandya,3,9,56,7,44,11,3994
11179,KSRTC,13-02-20,DakshinaKannada,Haveri,4,8,56,8,44,11,3117
12192,KSRTC,13-02-20,Davangere,Shivamogga,3,2,58,3,46,11,4021
13312,KSRTC,13-02-20,Davangere,Kodagu,2,5,55,6,44,11,3108
13893,KSRTC,13-02-20,Davangere,Kolar,3,6,58,5,46,11,3954
13998,KSRTC,13-02-20,Bidar,Dharwad,4,6,56,1,44,11,3482
17036,KSRTC,13-02-20,Mysuru,Davangere,5,1,59,3,47,11,3743
19399,KSRTC,13-02-20,Ramanagara,Udupi,4,10,60,3,48,12,3691
23731,KSRTC,13-02-20,Koppal,Mandya,5,2,60,8,48,12,3296
24064,KSRTC,13-02-20,Karwar,Kolar,1,5,60,7,48,12,3853
33842,KSRTC,13-02-20,Mysuru,Karwar,4,7,58,5,46,11,4026
36117,KSRTC,13-02-20,Kolar,Bengaluru,2,5,60,6,48,12,3474
36576,KSRTC,13-02-20,Mandya,Chikkamagaluru,3,10,57,6,45,11,3256
41007,KSRTC,13-02-20,Hassan,Kodagu,5,2,59,2,47,11,4392
41779,KSRTC,13-02-20,Gulbarga,Davangere,4,4,55,2,44,11,3945
43089,KSRTC,13-02-20,Mandya,Mandya,1,5,55,6,44,11,3271
48022,KSRTC,13-02-20,Davangere,Mandya,2,2,57,3,45,11,3487
50016,KSRTC,13-02-20,Gulbarga,Tumakuru,1,6,57,7,45,11,3612
50070,KSRTC,13-02-20,Davangere,Chikballapur,3,9,60,6,48,12,3086
50188,KSRTC,13-02-20,Hassan,Kolar,1,10,59,4,47,11,4037
53720,KSRTC,13-02-20,Karwar,Raichur,3,4,60,7,48,12,3142
55476,KSRTC,13-02-20,Yadgir,Yadgir,2,10,59,1,47,11,3040
56089,KSRTC,13-02-20,Kodagu,Chikkamagaluru,3,7,60,7,48,12,3795
61025,KSRTC,13-02-20,Bagalkot,Udupi,4,8,56,3,44,11,3807
63096,KSRTC,13-02-20,Udupi,Ramanagara,5,3,60,2,48,12,4371
63331,KSRTC,13-02-20,Chamarajanagar,Chitradurga,5,5,58,7,46,11,4306
63717,KSRTC,13-02-20,Chikballapur,Tumakuru,1,2,59,3,47,11,3533
64453,KSRTC,13-02-20,Ballari,Chikkamagaluru,3,3,57,1,45,11,3557
64501,KSRTC,13-02-20,Ballari,Shivamogga,3,3,55,7,44,11,3592
65772,KSRTC,13-02-20,Gadag,Yadgir,2,5,59,6,47,11,3707
68858,KSRTC,13-02-20,Chikkamagaluru,Kolar,4,8,60,5,48,12,3065
70537,KSRTC,13-02-20,Shivamogga,Ramanagara,1,1,55,8,44,11,3530
71224,KSRTC,13-02-20,Karwar,Mandya,4,6,57,1,45,11,3015
74316,KSRTC,13-02-20,Bidar,Ramanagara,3,2,59,8,47,11,4280
75884,KSRTC,13-02-20,Ballari,Chikballapur,2,1,60,7,48,12,3966
77122,KSRTC,13-02-20,Mandya,Kodagu,3,1,56,6,44,11,4117
78920,KSRTC,13-02-20,Dharwad,Bidar,2,7,55,5,44,11,4418
79402,KSRTC,13-02-20,Koppal,Kolar,4,3,56,4,44,11,3664
83082,KSRTC,13-02-20,Udupi,Mysuru,1,9,58,6,46,11,4243
83691,KSRTC,13-02-20,Ballari,Raichur,4,10,58,8,46,11,4140
84478,KSRTC,13-02-20,Bengaluru,Bidar,1,7,57,5,45,11,3523
792,KSRTC,14-02-20,Shivamogga,Mandya,4,6,56,7,44,11,3096
4210,KSRTC,14-02-20,Raichur,Haveri,4,6,56,7,44,11,3209
5480,KSRTC,14-02-20,Gadag,Gulbarga,5,9,55,6,44,11,4052
10486,KSRTC,14-02-20,Chikballapur,Davangere,3,7,57,1,45,11,3675
10950,KSRTC,14-02-20,Ramanagara,Mysuru,4,9,55,2,44,11,3954
13680,KSRTC,14-02-20,Yadgir,Belagavi,5,2,58,1,46,11,4132
13731,KSRTC,14-02-20,DakshinaKannada,Mysuru,2,9,55,7,44,11,3317
13953,KSRTC,14-02-20,Karwar,Gadag,5,4,60,5,48,12,4345
14326,KSRTC,14-02-20,Kolar,Koppal,3,9,57,3,45,11,4130
15592,KSRTC,14-02-20,Mysuru,Kodagu,3,7,56,4,44,11,4240
15825,KSRTC,14-02-20,Udupi,Chitradurga,1,10,60,8,48,12,3646
16551,KSRTC,14-02-20,Gulbarga,Chikkamagaluru,2,8,55,2,44,11,3183
16754,KSRTC,14-02-20,Raichur,Hassan,2,6,55,2,44,11,3449
17516,KSRTC,14-02-20,Belagavi,Chamarajanagar,2,2,58,3,46,11,4235
18061,KSRTC,14-02-20,Bidar,Gadag,2,9,55,4,44,11,3381
19281,KSRTC,14-02-20,Yadgir,Kolar,5,5,59,4,47,11,3117
19912,KSRTC,14-02-20,Kolar,Chikkamagaluru,4,4,60,2,48,12,3305
21664,KSRTC,14-02-20,Chamarajanagar,Raichur,3,4,58,1,46,11,4055
22385,KSRTC,14-02-20,Yadgir,Kolar,3,9,55,2,44,11,3940
23855,KSRTC,14-02-20,Yadgir,Bijapur,5,3,60,4,48,12,4111
25566,KSRTC,14-02-20,Kodagu,Udupi,2,8,58,8,46,11,3016
26801,KSRTC,14-02-20,Chikkamagaluru,Raichur,5,7,58,2,46,11,3060
27612,KSRTC,14-02-20,Chitradurga,Hassan,5,4,57,8,45,11,3638
29846,KSRTC,14-02-20,Gulbarga,Gadag,3,5,60,8,48,12,3564
29972,KSRTC,14-02-20,Shivamogga,Shivamogga,2,5,56,1,44,11,4025
31089,KSRTC,14-02-20,Tumakuru,DakshinaKannada,3,6,55,2,44,11,4136
32099,KSRTC,14-02-20,Chikballapur,Shivamogga,1,5,57,4,45,11,3529
36383,KSRTC,14-02-20,Shivamogga,Kodagu,2,2,58,5,46,11,4026
38865,KSRTC,14-02-20,Kolar,Chitradurga,1,2,58,7,46,11,3735
42207,KSRTC,14-02-20,Bagalkot,Chitradurga,1,6,59,5,47,11,4040
43185,KSRTC,14-02-20,Bagalkot,Shivamogga,5,10,58,2,46,11,4180
44224,KSRTC,14-02-20,Gadag,Chitradurga,3,2,60,8,48,12,4235
46049,KSRTC,14-02-20,Mysuru,Kolar,2,7,56,2,44,11,3029
48304,KSRTC,14-02-20,Mandya,Chikballapur,4,1,56,7,44,11,3568
48636,KSRTC,14-02-20,Bengaluru,Yadgir,5,6,57,5,45,11,3652
48756,KSRTC,14-02-20,Gadag,Chikkamagaluru,5,4,60,5,48,12,3222
55059,KSRTC,14-02-20,Yadgir,Ramanagara,5,6,58,7,46,11,4281
57504,KSRTC,14-02-20,Tumakuru,Shivamogga,3,10,56,4,44,11,4040
58717,KSRTC,14-02-20,Tumakuru,Hassan,4,1,60,3,48,12,4217
59337,KSRTC,14-02-20,Mysuru,Ramanagara,5,7,58,6,46,11,3566
59689,KSRTC,14-02-20,Davangere,Yadgir,4,3,55,2,44,11,3593
61125,KSRTC,14-02-20,Haveri,Mandya,3,8,60,4,48,12,3928
62212,KSRTC,14-02-20,Kodagu,Gadag,1,2,57,6,45,11,3444
65601,KSRTC,14-02-20,DakshinaKannada,Dharwad,3,7,58,2,46,11,3872
69554,KSRTC,14-02-20,Udupi,Chikballapur,4,2,57,6,45,11,3440
70003,KSRTC,14-02-20,Ballari,Mandya,2,5,55,5,44,11,3117
82080,KSRTC,14-02-20,Davangere,Kolar,3,8,58,6,46,11,3847
88,KSRTC,15-02-20,DakshinaKannada,Davangere,3,7,59,2,47,11,4348
990,KSRTC,15-02-20,Bagalkot,DakshinaKannada,5,1,55,1,44,11,4262
1226,KSRTC,15-02-20,Kolar,Dharwad,2,6,59,8,47,11,4371
11809,KSRTC,15-02-20,Udupi,Bidar,5,5,58,3,46,11,4258
14587,KSRTC,15-02-20,Dharwad,Bagalkot,3,10,57,7,45,11,3194
14846,KSRTC,15-02-20,Bijapur,Kodagu,1,1,57,7,45,11,4276
18637,KSRTC,15-02-20,Bagalkot,DakshinaKannada,4,5,55,2,44,11,4414
19957,KSRTC,15-02-20,Bengaluru,Chikballapur,1,9,56,5,44,11,4377
20156,KSRTC,15-02-20,Gadag,Bijapur,2,9,58,6,46,11,4095
21051,KSRTC,15-02-20,Chamarajanagar,Gulbarga,5,9,58,8,46,11,3245
22412,KSRTC,15-02-20,Gadag,Bidar,3,2,55,7,44,11,3100
25040,KSRTC,15-02-20,Kodagu,Udupi,3,2,58,5,46,11,3317
27092,KSRTC,15-02-20,Haveri,Belagavi,4,1,56,8,44,11,3942
27100,KSRTC,15-02-20,Dharwad,Kodagu,5,1,56,8,44,11,4492
28536,KSRTC,15-02-20,Tumakuru,Tumakuru,3,9,57,8,45,11,4458
30891,KSRTC,15-02-20,Yadgir,Tumakuru,2,4,60,3,48,12,4014
33415,KSRTC,15-02-20,Bijapur,Haveri,5,1,59,6,47,11,4303
35576,KSRTC,15-02-20,Bengaluru,DakshinaKannada,3,8,58,3,46,11,3568
41097,KSRTC,15-02-20,Bidar,Hassan,1,1,56,5,44,11,3935
41433,KSRTC,15-02-20,Bidar,Chamarajanagar,4,1,58,7,46,11,4167
41990,KSRTC,15-02-20,Haveri,Bidar,3,2,57,3,45,11,3921
42327,KSRTC,15-02-20,Dharwad,Bengaluru,2,3,56,1,44,11,4217
44315,KSRTC,15-02-20,Kolar,Ballari,3,1,57,1,45,11,4068
48618,KSRTC,15-02-20,DakshinaKannada,Raichur,1,1,55,1,44,11,3751
48625,KSRTC,15-02-20,Mysuru,Shivamogga,1,8,55,8,44,11,3244
49861,KSRTC,15-02-20,Karwar,Yadgir,3,2,57,3,45,11,3392
50968,KSRTC,15-02-20,Bengaluru,Karwar,2,10,57,4,45,11,4331
54116,KSRTC,15-02-20,Udupi,Bijapur,1,1,60,6,48,12,4462
56163,KSRTC,15-02-20,Bidar,Raichur,5,3,60,3,48,12,4392
58739,KSRTC,15-02-20,Chamarajanagar,Yadgir,3,4,57,3,45,11,3451
60668,KSRTC,15-02-20,Ballari,Mysuru,4,3,55,8,44,11,3179
63249,KSRTC,15-02-20,Koppal,Kolar,2,4,60,7,48,12,3012
63805,KSRTC,15-02-20,Kodagu,Ramanagara,5,7,60,6,48,12,3570
70711,KSRTC,15-02-20,Chamarajanagar,Haveri,2,3,58,6,46,11,3700
71144,KSRTC,15-02-20,Haveri,Dharwad,3,9,56,5,44,11,4473
71647,KSRTC,15-02-20,Mysuru,Yadgir,5,7,58,1,46,11,4203
77313,KSRTC,15-02-20,Yadgir,Chamarajanagar,4,4,58,5,46,11,3124
79927,KSRTC,15-02-20,Gulbarga,Davangere,1,3,56,2,44,11,3732
80278,KSRTC,15-02-20,DakshinaKannada,Davangere,2,9,59,5,47,11,3347
80629,KSRTC,15-02-20,Bidar,DakshinaKannada,1,9,55,5,44,11,4223
80719,KSRTC,15-02-20,Bijapur,Chitradurga,3,10,59,3,47,11,4045
83242,KSRTC,15-02-20,Koppal,Yadgir,2,8,57,6,45,11,3128
84007,KSRTC,15-02-20,Bijapur,Shivamogga,1,7,56,4,44,11,4116
84621,KSRTC,15-02-20,Hassan,Ramanagara,1,3,59,7,47,11,3679
4025,KSRTC,16-02-20,Belagavi,Belagavi,3,6,59,6,47,11,4443
7307,KSRTC,16-02-20,Yadgir,Chitradurga,1,10,59,8,47,11,3052
7544,KSRTC,16-02-20,DakshinaKannada,Udupi,3,8,56,3,44,11,3526
9445,KSRTC,16-02-20,Chikballapur,Karwar,1,4,59,8,47,11,4296
11347,KSRTC,16-02-20,Chamarajanagar,Bagalkot,5,1,60,4,48,12,4470
14178,KSRTC,16-02-20,Dharwad,DakshinaKannada,3,6,57,6,45,11,3701
16101,KSRTC,16-02-20,Gadag,Chikballapur,3,9,59,3,47,11,4387
16931,KSRTC,16-02-20,Yadgir,Kodagu,4,1,57,6,45,11,3068
25012,KSRTC,16-02-20,Davangere,Bijapur,3,5,58,4,46,11,3288
28102,KSRTC,16-02-20,Bijapur,Tumakuru,1,6,58,5,46,11,3867
28809,KSRTC,16-02-20,Haveri,Gadag,5,5,58,7,46,11,4142
31515,KSRTC,16-02-20,Yadgir,Chikkamagaluru,4,4,56,3,44,11,3930
32963,KSRTC,16-02-20,Kodagu,Hassan,4,2,57,3,45,11,4404
34660,KSRTC,16-02-20,Kolar,Mandya,1,10,59,7,47,11,3118
37869,KSRTC,16-02-20,Bagalkot,Bagalkot,1,6,59,8,47,11,3216
38749,KSRTC,16-02-20,Bengaluru,Mandya,4,9,59,7,47,11,3057
47852,KSRTC,16-02-20,Bijapur,Hassan,4,8,56,6,44,11,3148
50127,KSRTC,16-02-20,Bidar,Bagalkot,2,9,58,6,46,11,3429
58195,KSRTC,16-02-20,Koppal,Bagalkot,3,5,55,7,44,11,3103
58322,KSRTC,16-02-20,Belagavi,Mysuru,1,9,55,5,44,11,3653
60133,KSRTC,16-02-20,Mysuru,Shivamogga,5,9,55,8,44,11,3950
60230,KSRTC,16-02-20,DakshinaKannada,Mandya,4,9,57,5,45,11,3541
61555,KSRTC,16-02-20,Davangere,Hassan,5,4,55,2,44,11,3045
64479,KSRTC,16-02-20,Chitradurga,Koppal,4,3,58,4,46,11,3628
64809,KSRTC,16-02-20,Bijapur,Tumakuru,3,1,60,3,48,12,3867
67224,KSRTC,16-02-20,Ballari,Bijapur,1,7,57,8,45,11,3245
67469,KSRTC,16-02-20,Dharwad,Tumakuru,1,1,56,4,44,11,3210
69182,KSRTC,16-02-20,Gadag,Gadag,4,9,57,5,45,11,3540
72688,KSRTC,16-02-20,Kodagu,Belagavi,3,9,59,8,47,11,3545
75111,KSRTC,16-02-20,Raichur,Bengaluru,2,9,56,8,44,11,3956
75471,KSRTC,16-02-20,Dharwad,Mandya,5,5,60,8,48,12,4275
78405,KSRTC,16-02-20,Bidar,Yadgir,3,7,57,7,45,11,4040
79762,KSRTC,16-02-20,Bengaluru,Karwar,4,4,59,7,47,11,4466
80165,KSRTC,16-02-20,Ballari,Yadgir,4,10,56,2,44,11,4328
81893,KSRTC,16-02-20,Mandya,Raichur,4,1,56,5,44,11,4484
83227,KSRTC,16-02-20,Tumakuru,DakshinaKannada,3,1,58,7,46,11,3141
1645,KSRTC,17-02-20,Koppal,Gulbarga,5,9,57,4,45,11,3288
5521,KSRTC,17-02-20,Chikballapur,Chikkamagaluru,4,1,58,4,46,11,4088
13633,KSRTC,17-02-20,Bengaluru,Udupi,2,5,59,1,47,11,4324
19656,KSRTC,17-02-20,Chikkamagaluru,Tumakuru,3,8,56,3,44,11,3516
20808,KSRTC,17-02-20,Bagalkot,Yadgir,4,1,58,6,46,11,3992
23186,KSRTC,17-02-20,Koppal,Bijapur,1,9,57,7,45,11,3471
29457,KSRTC,17-02-20,Kodagu,Udupi,5,9,55,5,44,11,4324
31354,KSRTC,17-02-20,Kolar,Mysuru,3,6,56,2,44,11,3226
31999,KSRTC,17-02-20,Mandya,Dharwad,1,9,55,1,44,11,3732
37900,KSRTC,17-02-20,Ramanagara,Davangere,5,9,58,8,46,11,3868
46823,KSRTC,17-02-20,Ballari,Bagalkot,1,6,57,5,45,11,3521
56831,KSRTC,17-02-20,Bijapur,Belagavi,2,9,60,2,48,12,4306
58894,KSRTC,17-02-20,Koppal,Bidar,4,8,60,5,48,12,3302
59326,KSRTC,17-02-20,Kodagu,Ramanagara,2,1,60,4,48,12,4324
59996,KSRTC,17-02-20,Karwar,Haveri,4,10,56,8,44,11,3038
61179,KSRTC,17-02-20,Koppal,Shivamogga,3,3,56,1,44,11,3379
62226,KSRTC,17-02-20,Yadgir,Davangere,5,2,58,7,46,11,3121
63035,KSRTC,17-02-20,Mandya,Bijapur,4,3,60,1,48,12,3252
63679,KSRTC,17-02-20,Gulbarga,Chikballapur,4,3,55,7,44,11,3776
65271,KSRTC,17-02-20,DakshinaKannada,Haveri,1,10,59,5,47,11,3799
65456,KSRTC,17-02-20,Bengaluru,Mysuru,3,8,58,4,46,11,3267
73065,KSRTC,17-02-20,Bidar,Hassan,3,5,57,7,45,11,4472
80065,KSRTC,17-02-20,Mysuru,Udupi,3,6,56,1,44,11,4083
82152,KSRTC,17-02-20,Dharwad,Koppal,3,3,58,3,46,11,3121
476,KSRTC,18-02-20,Haveri,Chikballapur,2,4,56,2,44,11,3173
1323,KSRTC,18-02-20,Hassan,Bengaluru,4,1,59,1,47,11,3807
2968,KSRTC,18-02-20,Hassan,Chikkamagaluru,2,9,58,7,46,11,4045
4747,KSRTC,18-02-20,Belagavi,Koppal,2,4,56,4,44,11,3248
6659,KSRTC,18-02-20,Bijapur,Davangere,3,7,56,2,44,11,3550
8075,KSRTC,18-02-20,Davangere,Bidar,4,1,55,3,44,11,3826
11492,KSRTC,18-02-20,Koppal,Gulbarga,1,4,55,5,44,11,3207
16066,KSRTC,18-02-20,Haveri,Davangere,2,9,59,8,47,11,3870
17018,KSRTC,18-02-20,Dharwad,Chitradurga,3,1,58,8,46,11,3572
19167,KSRTC,18-02-20,Mandya,Mandya,2,10,59,7,47,11,4433
